1899 13838
24 533 1.0
24 543 1.0
24 544 1.0
24 663 1.0
24 689 1.0
24 692 1.0
24 695 1.0
24 713 2.0
24 794 2.0
24 976 1.0
24 1038 2.0
24 1075 1.0
24 1114 3.0
24 1160 1.0
24 1179 6.0
24 1313 1.0
24 1376 1.0
24 1624 1.0
25 1 1.0
25 92 1.0
25 195 1.0
25 199 1.0
25 336 1.0
25 699 1.0
26 1 3.0
26 4 3.0
26 11 3.0
26 20 2.0
26 37 2.0
26 230 1.0
26 694 1.0
26 748 2.0
26 1217 4.0
27 1 8.0
27 18 1.0
27 23 4.0
27 228 3.0
27 574 2.0
28 1 2.0
28 5 1.0
28 18 2.0
28 50 7.0
28 62 15.0
28 65 4.0
28 71 3.0
28 143 2.0
28 254 83.0
28 278 2.0
28 445 15.0
28 586 1.0
28 820 3.0
28 1307 4.0
28 1406 6.0
28 1481 4.0
29 7 3.0
29 70 3.0
29 104 1.0
29 142 2.0
29 170 2.0
29 254 3.0
29 634 1.0
29 738 2.0
29 1124 3.0
29 1400 1.0
29 1420 2.0
29 1822 1.0
29 1823 1.0
30 1 16.0
30 20 8.0
30 412 7.0
31 1 1.0
31 5 1.0
31 36 2.0
31 65 3.0
31 111 2.0
31 196 2.0
31 415 2.0
31 471 2.0
31 602 2.0
31 1387 1.0
32 1 4.0
32 5 13.0
32 50 5.0
32 94 2.0
32 133 1.0
32 201 1.0
32 270 8.0
32 354 6.0
32 672 7.0
32 674 1.0
32 1185 2.0
32 1420 1.0
36 9 1.0
36 11 1.0
36 12 5.0
36 23 2.0
36 24 4.0
36 28 7.0
36 41 6.0
36 45 11.0
36 48 1.0
36 66 1.0
36 70 18.0
36 71 9.0
36 72 1.0
36 76 1.0
36 84 2.0
36 88 1.0
36 100 4.0
36 103 4.0
36 105 6.0
36 110 1.0
36 130 5.0
36 142 11.0
36 143 1.0
36 155 4.0
36 156 4.0
36 159 2.0
36 173 2.0
36 174 4.0
36 181 1.0
36 202 10.0
36 204 9.0
36 207 2.0
36 214 1.0
36 219 3.0
36 224 1.0
36 226 1.0
36 228 19.0
36 232 56.0
36 245 2.0
36 246 7.0
36 252 1.0
36 253 1.0
36 255 2.0
36 256 1.0
36 257 1.0
36 258 1.0
36 259 1.0
36 260 1.0
36 261 2.0
36 262 1.0
36 263 3.0
36 264 1.0
36 265 1.0
36 266 3.0
36 267 2.0
36 268 2.0
36 269 1.0
36 271 3.0
36 272 1.0
36 273 1.0
36 275 5.0
36 276 1.0
36 277 1.0
36 278 4.0
36 279 1.0
36 281 1.0
36 282 1.0
36 283 1.0
36 284 1.0
36 285 1.0
36 286 1.0
36 287 1.0
36 288 1.0
36 289 1.0
36 290 9.0
36 291 21.0
36 292 1.0
36 293 2.0
36 294 1.0
36 295 2.0
36 296 2.0
36 297 1.0
36 298 1.0
36 299 2.0
36 301 1.0
36 303 1.0
36 304 2.0
36 305 4.0
36 306 2.0
36 307 2.0
36 308 1.0
36 309 8.0
36 310 3.0
36 311 1.0
36 312 3.0
36 313 3.0
36 314 2.0
36 315 1.0
36 316 7.0
36 317 7.0
36 318 6.0
36 319 10.0
36 320 2.0
36 321 1.0
36 322 1.0
36 323 4.0
36 324 2.0
36 325 1.0
36 326 5.0
36 327 5.0
36 328 1.0
36 329 2.0
36 330 1.0
36 331 1.0
36 332 42.0
36 333 15.0
36 334 8.0
36 336 5.0
36 337 2.0
36 338 1.0
36 339 1.0
36 340 14.0
36 342 1.0
36 343 3.0
36 345 1.0
36 346 2.0
36 347 2.0
36 348 1.0
36 350 1.0
36 351 2.0
36 353 1.0
36 354 1.0
36 355 1.0
36 356 1.0
36 358 1.0
36 359 2.0
36 360 1.0
36 361 1.0
36 362 1.0
36 363 1.0
36 364 1.0
36 365 2.0
36 368 1.0
36 370 2.0
36 372 1.0
36 373 1.0
36 374 1.0
36 376 3.0
36 378 2.0
36 380 2.0
36 384 1.0
36 385 1.0
36 387 1.0
36 389 1.0
36 391 2.0
36 392 5.0
36 393 2.0
36 394 12.0
36 395 2.0
36 396 1.0
36 397 1.0
36 398 1.0
36 399 2.0
36 400 1.0
36 401 1.0
36 403 1.0
36 404 6.0
36 406 1.0
36 407 1.0
36 409 1.0
36 410 1.0
36 411 2.0
36 414 1.0
36 415 1.0
36 417 1.0
36 419 1.0
36 422 1.0
36 423 1.0
36 424 1.0
36 425 1.0
36 426 1.0
36 427 1.0
36 428 1.0
36 430 1.0
36 431 1.0
36 433 1.0
36 434 1.0
36 435 1.0
36 436 5.0
37 195 1.0
37 199 1.0
37 210 1.0
37 315 1.0
38 36 4.0
38 58 2.0
38 60 3.0
38 62 1.0
38 132 1.0
38 212 4.0
38 254 5.0
38 579 1.0
38 581 6.0
38 584 1.0
38 585 20.0
38 594 1.0
38 599 1.0
39 3 2.0
39 5 6.0
39 11 1.0
39 41 3.0
39 54 1.0
39 56 6.0
39 57 5.0
39 71 8.0
39 76 1.0
39 119 1.0
39 125 1.0
39 172 1.0
39 178 2.0
39 198 5.0
39 205 2.0
39 207 1.0
39 213 1.0
39 216 1.0
39 217 1.0
39 219 1.0
39 223 2.0
39 225 1.0
39 253 1.0
39 255 1.0
39 256 1.0
39 266 1.0
39 267 3.0
39 268 1.0
39 269 1.0
39 271 3.0
39 272 1.0
39 273 1.0
39 274 3.0
39 276 2.0
39 288 1.0
39 289 1.0
39 291 31.0
39 294 1.0
39 298 1.0
39 299 1.0
39 317 1.0
39 321 3.0
39 322 4.0
39 327 4.0
39 328 1.0
39 330 2.0
39 331 1.0
39 332 9.0
39 339 2.0
39 347 1.0
39 364 1.0
39 375 1.0
39 408 1.0
39 424 1.0
39 440 1.0
39 442 1.0
39 443 1.0
39 450 17.0
39 452 2.0
39 454 2.0
39 456 5.0
39 460 2.0
39 461 1.0
39 468 3.0
39 471 1.0
39 474 2.0
39 480 1.0
39 501 1.0
39 507 1.0
39 512 2.0
39 515 1.0
39 517 1.0
39 519 1.0
39 521 3.0
39 523 1.0
39 534 1.0
39 581 2.0
39 609 1.0
39 617 2.0
39 621 1.0
39 626 1.0
39 628 2.0
39 630 1.0
39 646 3.0
39 658 1.0
39 669 3.0
39 695 1.0
39 714 2.0
39 733 1.0
39 735 2.0
39 736 4.0
39 737 2.0
39 738 2.0
39 739 2.0
39 740 1.0
39 741 1.0
39 743 2.0
39 744 1.0
39 745 1.0
39 746 1.0
39 747 1.0
39 749 5.0
39 750 1.0
39 751 1.0
39 752 1.0
39 753 1.0
39 754 9.0
39 755 1.0
39 756 3.0
39 758 1.0
39 759 1.0
39 760 1.0
39 761 2.0
39 763 2.0
39 764 1.0
39 765 2.0
39 766 1.0
39 768 1.0
39 769 1.0
39 779 1.0
39 780 1.0
39 781 1.0
39 783 1.0
39 786 1.0
39 787 1.0
39 788 1.0
39 790 1.0
39 792 1.0
39 793 1.0
40 3 7.0
40 41 3.0
40 266 1.0
40 273 1.0
40 276 1.0
40 282 1.0
40 288 1.0
40 323 1.0
40 325 1.0
40 328 2.0
40 339 1.0
40 518 1.0
40 523 1.0
40 617 1.0
40 632 1.0
40 658 1.0
40 733 1.0
40 758 1.0
40 897 1.0
40 898 1.0
40 899 1.0
41 232 1.0
42 552 1.0
42 717 1.0
43 42 4.0
43 69 2.0
43 76 1.0
43 203 1.0
43 238 1.0
43 272 1.0
43 279 1.0
43 300 2.0
43 314 3.0
43 334 1.0
43 615 1.0
43 628 1.0
43 699 2.0
43 715 4.0
43 761 3.0
43 947 5.0
43 948 1.0
43 949 1.0
43 950 1.0
43 952 2.0
43 953 1.0
44 3 3.0
44 12 1.0
44 125 1.0
44 196 1.0
44 267 2.0
44 268 3.0
44 334 1.0
44 350 1.0
44 736 1.0
44 815 1.0
44 1001 1.0
45 3 7.0
45 4 2.0
45 7 19.0
45 762 1.0
45 823 1.0
45 1013 2.0
46 41 1.0
46 58 1.0
46 125 1.0
46 306 1.0
46 314 1.0
46 315 2.0
46 352 1.0
46 461 3.0
46 617 1.0
46 926 1.0
46 1037 1.0
47 134 1.0
47 232 2.0
47 273 1.0
47 358 1.0
47 529 3.0
47 636 1.0
47 657 2.0
47 736 1.0
48 3 1.0
48 5 3.0
48 815 1.0
49 232 6.0
49 238 2.0
49 287 1.0
49 1073 1.0
50 5 11.0
50 7 3.0
50 8 3.0
50 9 1.0
50 11 1.0
50 31 1.0
50 36 1.0
50 38 1.0
50 39 1.0
50 41 1.0
50 45 2.0
50 52 2.0
50 84 1.0
50 85 1.0
50 100 1.0
50 105 5.0
50 108 9.0
50 119 1.0
50 122 1.0
50 134 1.0
50 137 1.0
50 145 1.0
50 155 1.0
50 164 1.0
50 172 1.0
50 198 1.0
50 207 1.0
50 210 1.0
50 213 2.0
50 218 1.0
50 223 1.0
50 227 1.0
50 232 2.0
50 233 1.0
50 236 1.0
50 243 1.0
50 244 2.0
50 266 8.0
50 267 2.0
50 268 3.0
50 274 1.0
50 293 1.0
50 307 1.0
50 331 1.0
50 332 1.0
50 336 7.0
50 340 1.0
50 341 1.0
50 345 1.0
50 347 2.0
50 364 3.0
50 365 1.0
50 394 1.0
50 407 1.0
50 415 1.0
50 421 1.0
50 429 1.0
50 443 1.0
50 444 1.0
50 467 4.0
50 473 1.0
50 486 1.0
50 488 1.0
50 490 1.0
50 491 1.0
50 499 13.0
50 501 1.0
50 519 1.0
50 539 1.0
50 547 1.0
50 551 1.0
50 552 1.0
50 553 1.0
50 574 3.0
50 616 1.0
50 626 1.0
50 631 1.0
50 636 1.0
50 638 1.0
50 641 1.0
50 652 1.0
50 653 1.0
50 663 1.0
50 666 1.0
50 670 1.0
50 709 1.0
50 762 1.0
50 780 1.0
50 781 1.0
50 797 1.0
50 805 1.0
50 810 2.0
50 811 1.0
50 822 1.0
50 823 1.0
50 892 2.0
50 951 2.0
50 957 1.0
50 967 1.0
50 1010 1.0
50 1011 1.0
50 1022 1.0
50 1026 1.0
50 1070 1.0
50 1085 1.0
50 1087 1.0
50 1109 1.0
50 1110 1.0
50 1111 1.0
50 1112 1.0
50 1114 1.0
50 1116 1.0
50 1117 1.0
50 1118 1.0
50 1119 1.0
50 1120 5.0
50 1121 1.0
50 1122 1.0
50 1123 1.0
50 1124 1.0
50 1125 1.0
50 1126 1.0
50 1127 1.0
50 1128 1.0
50 1129 1.0
50 1130 1.0
50 1131 2.0
50 1132 1.0
50 1133 1.0
50 1134 1.0
50 1135 1.0
50 1136 1.0
50 1137 1.0
50 1138 2.0
50 1139 1.0
50 1140 1.0
50 1141 1.0
50 1142 1.0
50 1143 1.0
50 1144 1.0
50 1146 2.0
50 1147 2.0
50 1148 1.0
50 1152 1.0
50 1154 1.0
51 3 1.0
51 5 2.0
51 7 6.0
51 36 4.0
51 39 1.0
51 40 1.0
51 48 3.0
51 49 10.0
51 50 2.0
51 57 2.0
51 70 1.0
51 78 1.0
51 196 14.0
51 211 1.0
51 217 1.0
51 234 1.0
51 254 10.0
51 277 3.0
51 280 13.0
51 300 1.0
51 330 1.0
51 445 3.0
51 714 1.0
51 774 1.0
51 1029 1.0
51 1038 1.0
51 1077 1.0
51 1187 1.0
51 1188 1.0
51 1189 1.0
51 1190 1.0
51 1191 1.0
51 1193 1.0
51 1195 1.0
51 1198 1.0
51 1199 1.0
51 1200 1.0
51 1201 1.0
51 1205 1.0
51 1207 1.0
52 3 4.0
52 5 3.0
52 232 1.0
52 263 1.0
52 574 4.0
53 86 1.0
53 332 1.0
53 337 2.0
53 447 2.0
53 536 1.0
53 669 1.0
53 1028 1.0
53 1219 1.0
53 1220 1.0
53 1221 1.0
53 1222 1.0
54 44 3.0
54 445 1.0
54 599 2.0
55 5 2.0
55 7 1.0
55 9 15.0
55 11 1.0
55 39 9.0
55 41 1.0
55 45 2.0
55 56 1.0
55 57 1.0
55 59 1.0
55 60 1.0
55 68 4.0
55 78 1.0
55 105 1.0
55 123 1.0
55 201 2.0
55 204 1.0
55 209 2.0
55 217 2.0
55 232 1.0
55 236 1.0
55 260 1.0
55 268 2.0
55 273 1.0
55 274 1.0
55 276 1.0
55 282 1.0
55 287 1.0
55 290 1.0
55 291 1.0
55 292 1.0
55 294 1.0
55 295 2.0
55 299 1.0
55 305 2.0
55 308 1.0
55 309 1.0
55 322 4.0
55 332 2.0
55 334 1.0
55 443 3.0
55 452 1.0
55 453 1.0
55 456 11.0
55 521 13.0
55 523 1.0
55 574 10.0
55 581 2.0
55 623 2.0
55 692 1.0
55 695 1.0
55 734 1.0
55 735 2.0
55 739 2.0
55 744 1.0
55 745 1.0
55 746 1.0
55 747 5.0
55 792 1.0
55 796 1.0
55 799 1.0
55 824 1.0
55 873 1.0
55 896 1.0
55 914 1.0
55 955 1.0
55 993 2.0
55 1041 1.0
55 1070 1.0
55 1224 1.0
55 1225 1.0
55 1226 1.0
55 1227 1.0
55 1228 1.0
55 1229 1.0
55 1230 1.0
55 1231 1.0
55 1233 1.0
55 1235 1.0
55 1237 1.0
56 3 2.0
56 50 3.0
56 270 6.0
56 291 2.0
56 1238 2.0
57 5 1.0
57 274 1.0
57 275 1.0
57 574 4.0
57 711 1.0
58 1 1.0
58 5 3.0
58 7 2.0
58 11 2.0
58 36 2.0
58 37 1.0
58 42 2.0
58 43 9.0
58 45 1.0
58 48 2.0
58 49 3.0
58 54 1.0
58 59 4.0
58 63 2.0
58 92 1.0
58 108 1.0
58 114 1.0
58 123 2.0
58 210 1.0
58 215 1.0
58 225 1.0
58 228 1.0
58 237 1.0
58 244 3.0
58 274 3.0
58 277 2.0
58 282 1.0
58 304 2.0
58 327 1.0
58 331 1.0
58 350 1.0
58 364 1.0
58 442 1.0
58 466 1.0
58 485 1.0
58 535 6.0
58 581 2.0
58 584 1.0
58 619 1.0
58 625 1.0
58 639 1.0
58 646 1.0
58 714 1.0
58 719 1.0
58 742 2.0
58 746 1.0
58 757 1.0
58 779 1.0
58 799 1.0
58 802 1.0
58 914 2.0
58 973 2.0
58 1002 2.0
58 1004 1.0
58 1010 1.0
58 1038 1.0
58 1039 1.0
58 1065 1.0
58 1089 1.0
58 1105 1.0
58 1121 1.0
58 1156 2.0
58 1187 1.0
58 1190 1.0
58 1231 1.0
58 1238 2.0
58 1252 1.0
58 1255 1.0
58 1256 1.0
58 1259 1.0
58 1260 1.0
58 1261 1.0
58 1262 1.0
58 1263 1.0
59 9 1.0
59 41 2.0
59 45 2.0
59 88 1.0
59 90 1.0
59 142 1.0
59 260 1.0
59 304 1.0
59 321 1.0
59 332 2.0
59 337 1.0
59 338 1.0
59 388 1.0
59 454 2.0
59 574 6.0
59 815 1.0
59 823 1.0
59 926 1.0
59 1028 1.0
59 1080 1.0
59 1121 1.0
59 1266 1.0
59 1267 1.0
59 1269 1.0
59 1270 1.0
59 1273 1.0
60 3 2.0
60 15 7.0
60 16 2.0
60 194 2.0
60 447 1.0
61 45 2.0
61 51 2.0
61 232 1.0
61 290 6.0
61 356 1.0
61 516 7.0
61 725 2.0
61 1092 1.0
62 51 1.0
62 58 2.0
62 168 1.0
62 331 1.0
62 337 1.0
62 343 3.0
62 364 1.0
62 516 7.0
62 573 1.0
62 646 1.0
62 699 4.0
62 739 1.0
62 742 2.0
62 774 2.0
62 894 1.0
63 56 4.0
63 86 1.0
63 293 6.0
63 299 1.0
63 334 1.0
63 447 4.0
63 529 1.0
63 574 9.0
63 624 1.0
63 715 1.0
63 1310 1.0
64 1074 1.0
65 5 5.0
65 7 1.0
65 8 16.0
65 19 4.0
65 45 1.0
65 51 1.0
65 58 1.0
65 70 5.0
65 108 2.0
65 127 1.0
65 130 1.0
65 134 1.0
65 137 2.0
65 175 2.0
65 202 2.0
65 204 1.0
65 209 1.0
65 232 4.0
65 266 1.0
65 268 3.0
65 270 1.0
65 274 1.0
65 285 1.0
65 290 1.0
65 302 2.0
65 310 2.0
65 312 3.0
65 334 1.0
65 335 2.0
65 338 5.0
65 363 1.0
65 407 1.0
65 426 1.0
65 427 1.0
65 429 2.0
65 430 1.0
65 444 1.0
65 458 4.0
65 474 2.0
65 481 1.0
65 509 1.0
65 540 2.0
65 552 1.0
65 560 1.0
65 564 1.0
65 574 5.0
65 590 1.0
65 599 1.0
65 602 1.0
65 610 2.0
65 649 1.0
65 658 1.0
65 669 1.0
65 673 1.0
65 675 2.0
65 678 1.0
65 736 1.0
65 785 1.0
65 795 1.0
65 818 3.0
65 847 1.0
65 850 1.0
65 905 1.0
65 1017 1.0
65 1043 1.0
65 1091 1.0
65 1105 1.0
65 1147 1.0
65 1148 1.0
65 1313 1.0
65 1314 1.0
65 1315 1.0
65 1316 5.0
65 1317 1.0
65 1318 1.0
65 1319 3.0
65 1320 2.0
65 1321 1.0
65 1322 3.0
65 1323 1.0
65 1324 1.0
65 1325 1.0
65 1327 1.0
65 1328 1.0
66 50 1.0
66 63 1.0
66 194 3.0
66 197 2.0
66 214 1.0
66 274 4.0
66 334 1.0
66 392 1.0
66 460 1.0
66 646 1.0
66 810 1.0
66 1332 1.0
66 1333 2.0
67 7 5.0
67 12 1.0
67 98 2.0
67 104 1.0
67 142 2.0
67 198 1.0
67 280 7.0
67 471 3.0
67 492 1.0
67 829 1.0
67 858 1.0
67 1337 1.0
67 1339 1.0
68 5 2.0
68 39 3.0
68 45 2.0
68 51 4.0
68 58 3.0
68 98 1.0
68 123 1.0
68 125 1.0
68 217 1.0
68 300 6.0
68 495 1.0
68 630 1.0
68 747 3.0
68 748 8.0
68 794 1.0
68 1378 1.0
68 1379 6.0
69 669 1.0
69 1380 1.0
70 7 1.0
70 16 3.0
70 40 2.0
70 50 6.0
70 263 1.0
70 699 2.0
70 1381 1.0
71 5 1.0
71 13 1.0
71 18 27.0
71 26 1.0
71 31 1.0
71 42 11.0
71 44 1.0
71 50 4.0
71 52 2.0
71 57 1.0
71 82 1.0
71 119 1.0
71 143 1.0
71 203 1.0
71 219 1.0
71 228 1.0
71 237 5.0
71 274 1.0
71 308 1.0
71 516 4.0
71 534 1.0
71 545 1.0
71 586 1.0
71 625 1.0
71 626 11.0
71 766 2.0
71 769 1.0
71 795 1.0
71 796 1.0
71 958 1.0
71 967 1.0
71 970 2.0
71 1011 1.0
71 1068 1.0
71 1096 1.0
71 1097 1.0
71 1098 1.0
71 1335 2.0
71 1408 1.0
71 1409 1.0
72 5 2.0
72 18 17.0
72 50 2.0
72 71 33.0
72 84 1.0
72 194 3.0
72 205 2.0
72 237 13.0
72 305 4.0
72 308 3.0
72 309 3.0
